	-13	-14	-15	-16	-17
acac	0.177956577568289	0.381646417849811	0.32809415937204	0.89141291640726	0.358567944553439
agem	0.129542301683701	0.300808329971769	0.138551121222854	0.825830517868362	0.642060444974037
bsub	0.157133088497549	1	0.191658984715462	0.217525836359283	0.252154408995071
cbol	0.11902051265185	0.382881522592586	0.206423063082233	0.799152138958788	0.349814349600868
ccit	0.182639627278494	0.373139969671431	0.260550845155365	0.935971520190443	0.285874842766882
csym	0.215964727657293	0.23616513117872	0.111699039413191	0.889483283843654	0.277287381204482
ctyr	0.183669754121848	0.448022408864711	0.0944245556285232	0.645038433697449	0.405816195858843
dfor	0.509419055335163	0.229897640649735	0	0.441186366036084	0.395827135081584
efae	0.173771094027368	0.577308720866233	0.0711791091144333	0.122698202240668	0.300252012195371
fpla	0.386668556990942	0.322879554515198	0.219790206860898	0.925419017529121	0.174762675701549
hhat	0.0496731886306688	0.301383073900577	0.12730334016251	0.644669653077095	0.32625160729173
lreu	0.131178236090124	0.877495956912292	0.299671430572983	0.398688123493309	0.404778939057604
pala	0.0350832374908325	0.650308086010488	0.30500173924331	0.0679860488678455	0.381659517328702
