species	Phylum	Class	Order	Family	Genus
Ancylobacter aquaticus	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter
Leptospira alexanderi serovar Manhao 3 str. L 60	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira
Megasphaera sp. UPII 199-6	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Megasphaera sp. UPII 135-E	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Cryobacterium roopkundense	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Cryobacterium
Anaerocolumna xylanovorans DSM 12503	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerocolumna
Clostridium peptidivorans	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Papillibacter cinnamivorans DSM 12816	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Papillibacter
Cupriavidus sp. ASC-9842	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
Vibrio sp. C7	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Hugenholtzia roseola DSM 9546	Bacteroidetes	Cytophagia	Cytophagales	Bernardetiaceae	Hugenholtzia
Pigmentiphaga sp. D-2	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pigmentiphaga
Austwickia chelonae NBRC 105200	Actinobacteria	Actinobacteria	Micrococcales	Dermatophilaceae	Austwickia
Psychrobacter sp. 1501(2011)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
Leisingera sp. ANG1	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera
Pseudomonas formosensis	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Candidatus Pelagibacter sp. IMCC9063	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter
Occallatibacter savannae	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Occallatibacter
Gaiella occulta	Actinobacteria	Rubrobacteria	Gaiellales	Gaiellaceae	Gaiella
Thermoflexibacter ruber	Bacteroidetes	Cytophagia	Cytophagales	Thermoflexibacter	
Verrucosispora maris AB-18-032	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Verrucosispora
Candidatus Thiomargarita nelsonii	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiomargarita
Chitinophaga sancti	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga
Photorhabdus khanii NC19	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Photorhabdus
Candidatus Brocadia caroliniensis	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Brocadia
Mesorhizobium muleiense	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium
Hydrotalea sandarakina	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Hydrotalea
Vibrio sonorensis	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Vibrio mexicanus	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Lactobacillus perolens DSM 12744	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Schaalia canis	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia
Cytophagales bacterium B6	Bacteroidetes				
Gluconacetobacter sp. SXCC-1	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
Gordonia iterans	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia
Fimbriimonas ginsengisoli Gsoil 348	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas
Kosakonia oryzendophytica	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia
Kosakonia oryziphila	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia
Aminivibrio pyruvatiphilus	Synergistetes	Synergistia	Synergistales	Synergistaceae	Aminivibrio
Muricauda taeanensis	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Muricauda
Roseovarius lutimaris	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius
Nocardioides szechwanensis	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Nocardioides psychrotolerans	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Marivirga tractuosa DSM 4126	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marivirga
Listeria weihenstephanensis FSL R9-0317	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria
Defluviitoga tunisiensis	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Defluviitoga
Aeromonas cavernicola	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Pseudomonas kuykendallii	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Sphingomonas sp. S17	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Pusillimonas sp. T7-7	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas
alpha proteobacterium SCGC AAA076-C03	Proteobacteria	Alphaproteobacteria			
alpha proteobacterium SCGC AAA076-E06	Proteobacteria	Alphaproteobacteria			
alpha proteobacterium SCGC AAA158-B04	Proteobacteria	Alphaproteobacteria			
alpha proteobacterium SCGC AAA158-M15	Proteobacteria	Alphaproteobacteria			
