Phylum	Genus	libsize	FFT_score	FFT_score_scaled	frame_pref	frame_pref_scaled	periodicity	pattern	F0	F1	F2	sample	mup-13	mup-14	mup-15	mup-16	mup-17
Verrucomicrobia	Akkermansia	11117	0.0	0.0	-0.5	-0.3	0.0	F-123	26.0	33.4	40.6	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Bacteroidetes	Alistipes	433245	0.0	0.0	0.3	0.2	0.2	F-231	37.4	30.9	31.7	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Bacteroidetes	Alistipes	492307	15.41384614	0.3	-0.253873059	-0.2	0.3	NA	36.58500914	33.87121674	29.54377412	afin_ctr_r1_s_o_v15	0	0	0	0	0
Firmicutes	Anaeroglobus	131115	12.6916894	0.2	0.44155373	0.3	0.3	NA	29.46737165	40.44191139	30.09071696	fecul-C_ctr_r1_fc_r_v13_S26_R1_001.fastq	0.129542302	0.30080833	0.138551121	0.825830518	0.642060445
Firmicutes	Anaerostipes	330816.0	22.59909897	0.4	-0.251252435	-0.2	0.4	NA	29.58159894	37.25888509	33.15951597	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0.177956578	0.381646418	0.328094159	0.891412916	0.358567945
Actinobacteria	Atopobium	23170	14.0	0.3	1.0	0.6	0.6	F-312	26.6	50.7	22.7	vs_ctr_r3_c_r_v2-v4	0	0	0	0	0
Actinobacteria	Atopobium	23385	0.0	0.0	1.0	0.6	0.6	F-312	26.7	50.6	22.7	vs_ctr_r3_c_r_v2-v4	0	0	0	0	0
Firmicutes	Bacillus	1559393	37.2	0.7	1.6	1.0	1.0	F-132	19.0	60.3	20.7	bamy_cam_r1_s_r_v1	0	0	0	0	0
Firmicutes	Bacillus	1700812	50.8	1.0	1.1	0.7	1.0	F-132	22.2	52.3	25.6	bsub-str168_salt_r1_s_o_v7	0.157133088	1	0.191658985	0.217525836	0.252154409
Bacteroidetes	Bacteroides	2660609	0.0	0.0	0.2	0.1	0.1	F-321	37.1	31.8	31.2	feces_ctr_r1-2_c_r_v9	0	0	0	0	0
Bacteroidetes	Bacteroides	156745	9.822721298	0.2	-0.629349389	-0.4	0.2	NA	37.55143705	38.02098951	24.42757345	fecul-B_ctr_r1_fc_r_v13_S13_R1_001.fastq	0	0	0	0	0
