	protein	gene
BSU00010	Chromosomal replication initiator protein DnaA	dnaA dnaH BSU00010
BSU00020	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta)	dnaN dnaG BSU00020
BSU00030	Probable ribosome maturation protein RlbA	rlbA yaaA BSU00030
BSU00040	DNA replication and repair protein RecF	recF BSU00040
BSU00050	Extracellular matrix regulatory protein B (Regulator of the extracellular matrix B)	remB yaaB BSU00050
BSU00060	DNA gyrase subunit B (EC 5.6.2.2)	gyrB novA BSU00060
BSU00070	DNA gyrase subunit A (EC 5.6.2.2)	gyrA cafB nalA BSU00070
BSU00080	Uncharacterized protein YaaC	yaaC BSU00080
BSU00090	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205) (Superoxide-inducible protein 12) (SOI12)	guaB gnaB BSU00090
BSU00100	D-alanyl-D-alanine carboxypeptidase DacA (CPase) (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 5) (PBP-5)	dacA BSU00100
BSU00110	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1) (Superoxide-inducible protein 7) (SOI7)	pdxS yaaD BSU00110
BSU00120	Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)	pdxT yaaE BSU00120
BSU00130	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS BSU00130
BSU00140	Deoxyadenosine/deoxycytidine kinase (dAK/dCK) (EC 2.7.1.74) (EC 2.7.1.76)	dck dak yaaF BSU00140
BSU00150	Deoxyguanosine kinase (DGUO kinase) (dGK) (EC 2.7.1.113)	dgk yaaG BSU00150
BSU00160	Cortical fragment-lytic enzyme (CFLE) (EC 3.2.1.-) (Spore germination protein) (Spore peptidoglycan N-acetylglucosaminidase)	sleL yaaH BSU00160
BSU00170	Uncharacterized isochorismatase family protein YaaI (EC 3.-.-.-)	yaaI BSU00170
BSU00180	tRNA-specific adenosine deaminase (EC 3.5.4.33)	tadA yaaJ BSU00180
BSU00190	DNA polymerase III subunit gamma/tau (EC 2.7.7.7)	dnaX dnaH BSU00190
BSU00200	Nucleoid-associated protein YaaK	yaaK BSU00200
BSU00210	Recombination protein RecR	recR recD recM BSU00210
BSU00220	Uncharacterized protein YaaL	yaaL BSU00220
BSU00230	Sigma-K factor-processing regulatory protein BofA (Bypass-of-forespore protein A)	bofA BSU00230
BSU00240	Anti-sigma-G factor Gin (Protein CsfB)	csfB gin yaaM BSU00240
BSU00250	Protein XpaC	xpaC BSU00250
BSU00260	Uncharacterized protein YaaN	yaaN BSU00260
BSU00270	Uncharacterized protein YaaO	yaaO BSU00270
BSU00280	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	tmk yaaP BSU00280
BSU00290	Cyclic di-AMP receptor A (c-di-AMP receptor A) (PII-like signal transduction protein DarA)	darA yaaQ BSU00290
BSU00300	Uncharacterized protein YaaR	yaaR BSU00300
BSU00310	DNA polymerase III subunit delta' (EC 2.7.7.7)	holB yaaS BSU00310
BSU00320	Stage 0 sporulation protein YaaT	yaaT BSU00320
BSU00330	Initiation-control protein YabA	yabA BSU00330
BSU00340	Probable RNA methyltransferase YabB	yabB BSU00340
BSU00350	UPF0213 protein YazA	yazA BSU00350
BSU00360	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	rsmI yabC BSU00360
BSU00370	Transition state regulatory protein AbrB	abrB cpsX BSU00370
BSU00380	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG metS BSU00380
BSU00390	Uncharacterized metal-dependent hydrolase YabD (EC 3.1.-.-)	yabD BSU00390
BSU00400	Putative cell wall shaping protein YabE	yabE BSU00400
BSU00410	Ribonuclease M5 (EC 3.1.26.8) (RNase M5) (Ribosomal RNA terminal maturase M5)	rnmV yabF BSU00410
BSU00420	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA BSU00420
BSU00430	Sporulation-specific protease YabG (EC 3.4.-.-)	yabG BSU00430
BSU00440	Protein Veg	veg BSU00440
BSU00450	Protein SspF	sspF BSU00450
BSU00460	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE ipk yabH BSU00460
BSU00470	Pur operon repressor	purR yabI BSU00470
BSU00480	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Enamine/imine deaminase)	ridA yabJ BSU00480
BSU00490	Putative septation protein SpoVG (Stage V sporulation protein G)	spoVG BSU00490
BSU00500	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU gcaD tms tms-26 BSU00500
BSU00510	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PPRibP synthase) (PRPP synthase) (PRPPase)	prs BSU00510
BSU00520	General stress protein CTC (50S ribosomal protein L25)	ctc BSU00520
BSU00530	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29) (Stage V sporulation protein C)	spoVC pth BSU00530
BSU00540	Anti-sigma-F factor Fin (Suppressor of recU and recB SubA)	fin subA yabK BSU00540
BSU00550	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd BSU00550
BSU00560	Stage V sporulation protein T	spoVT yabL BSU00560
BSU00570	Uncharacterized membrane protein YabM	yabM BSU00570
BSU00580	Uncharacterized protein YabN	yabN BSU00580
BSU00590	Uncharacterized protein YabO	yabO BSU00590
BSU00600	Spore protein YabP	yabP BSU00600
BSU00610	Spore protein YabQ	yabQ BSU00610
BSU00620	Cell division protein DivIC	divIC divA BSU00620
BSU00630	Uncharacterized protein YabR	yabR BSU00630
BSU00640	Stage II sporulation protein E (EC 3.1.3.16) (Stage II sporulation protein H)	spoIIE spoIIH BSU00640
BSU00650	Uncharacterized protein YabS	yabS BSU00650
BSU00660	Probable serine/threonine-protein kinase YabT (EC 2.7.11.1)	yabT BSU00660
BSU00670	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)	tilS yacA BSU00670
BSU00680	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	hprT hpt BSU00680
