	protein	gene
YP_004888094.1	Chromosomal replication initiator protein DnaA	dnaA lp_0001
YP_004888095.1	Beta sliding clamp	dnaN lp_0002
YP_004888096.1	S4 domain-containing protein YaaA	lp_0004
YP_004888097.1	DNA replication and repair protein RecF	recF lp_0005
YP_004888098.1	DNA gyrase subunit B (EC 5.6.2.2)	gyrB lp_0006
YP_004888099.1	DNA gyrase subunit A (EC 5.6.2.2)	gyrA lp_0007
YP_004888100.1	30S ribosomal protein S6	rpsF lp_0009
YP_004888101.1	Single-stranded DNA-binding protein (SSB)	ssb lp_0010
YP_004888102.1	30S ribosomal protein S18	rpsR lp_0011
YP_004888103.1	Cyclic-di-AMP phosphodiesterase (EC 3.1.4.-)	lp_0012
YP_004888104.1	50S ribosomal protein L9	rplI lp_0013
YP_004888105.1	Replicative DNA helicase (EC 3.6.4.12)	dnaC lp_0014
YP_004888106.1	Transport protein, major facilitator superfamily (MFS)	lp_0015
YP_004888107.1	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB lp_0016
YP_004888108.1	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA lp_0017
YP_004888109.1	Oligopeptide ABC transporter,oligopeptide-binding protein	lp_0018
YP_004888110.1	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB lp_0020
YP_004888111.1	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	glgC lp_0021
YP_004888112.1	Glucose-1-P adenylyltransferase, regulatory subunit	glgD lp_0022
YP_004888113.1	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA lp_0023
YP_004888114.1	Alpha-1,4 glucan phosphorylase (EC 2.4.1.1)	glgP lp_0024
YP_004888115.1	Maltodextrin glucosidase (EC 3.2.1.20)	malZ lp_0025
YP_004888116.1	Hydrolase, HAD superfamily, Cof family	lp_0026
YP_004888117.1	Beta-phosphoglucomutase (EC 5.4.2.6)	pgmB1 lp_0027
YP_004888118.1	Kojibiose-like phosphorylase, specific (EC 2.4.1.-)	lp_0028
YP_004888119.1	Pyridoxamine 5'-phosphate oxidase family protein, FMN-binding	lp_0030
YP_004888120.1	Cold shock protein 2	cspL lp_0031
YP_004888121.1	Transposase	lp_0032
YP_004888122.1	Two-component system response regulator	rrp1 lp_0036
YP_004888123.1	Histidine kinase (EC 2.7.13.3)	hpk1 lp_0037
YP_004888124.1	Regulator of two-component system, YycH family	lp_0038
YP_004888125.1	Regulator of two-component system, YycI family	lp_0039
YP_004888126.1	Zn-dependent hydrolase, beta-lactamase superfamily	lp_0041
YP_004888127.1	Serine protease HtrA (EC 3.4.21.-)	htrA lp_0043
YP_004888128.1	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH lp_0045
YP_004888129.1	Transcription regulator, TetR family	lp_0046
YP_004888130.1	Aldehyde dehydrogenase	calB lp_0047
YP_004888131.1	Uracil-DNA glycosylase family protein	lp_0048
YP_004888132.1	Nitrobenzoate reductase	pnbA lp_0050
YP_004888133.1	6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)	lp_0052
YP_004888134.1	Fibronectin-binding protein	lp_0053
YP_004888135.1	DUF2785 domain-containing protein	lp_0054
YP_004888136.1	Fumarate reductase, flavoprotein subunit (EC 1.3.99.1)	lp_0055
YP_004888137.1	Divalent anion:sodium (Na+) symporter, DASS family	lp_0056
YP_004888138.1	Transcription regulator, LysR family	lp_0057
YP_004888139.1	Flavoprotein	lp_0058
YP_004888140.1	Arsenate reductase (EC 1.20.4.1)	arsC lp_0059
YP_004888141.1	Short-chain dehydrogenase/oxidoreductase	lp_0060
YP_004888142.1	Acetoacetate decarboxylase	adc lp_0061
YP_004888143.1	Nitroreductase family protein (EC 1.-.-.-)	lp_0062
YP_004888144.1	HTH_30 domain-containing protein	lp_0063
YP_004888145.1	Beta-phosphoglucomutase (EC 5.4.2.6)	pgmB2 lp_0066
YP_004888146.1	Penicillin V acylase family protein (EC 3.5.1.11)	pva1 lp_0067
YP_004888147.1	Hypothetical membrane protein, DUF1212 family	lp_0068
YP_004888148.1	Protein-tyrosine phosphatase (EC 3.1.3.48)	ptp1 lp_0069
YP_004888149.1	NA	NA
YP_004888150.1	NA	NA
YP_004888151.1	RNA-binding protein, ASCH domain	lp_0072
YP_004888152.1	Glutamine amidotransferase class-I (EC 2.4.2.-)	lp_0073
YP_004888153.1	Transcription regulator, DeoR family	lp_0074
