Entry	Gene Names	Protein names
A5A616	mgtS yneM b4599 JW1527.1	Small protein MgtS
O32583	thiS thiG1 b4407 JW3955	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)
P00350	gnd b2029 JW2011	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)
P00363	frdA b4154 JW4115	Fumarate reductase flavoprotein subunit (EC 1.3.5.4) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)
P00370	gdhA b1761 JW1750	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)
P00393	ndh b1109 JW1095	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)
P00448	sodA b3908 JW3879	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)
P00452	nrdA dnaF b2234 JW2228	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)
P00490	malP b3417 JW5689	Maltodextrin phosphorylase (EC 2.4.1.1)
P00509	aspC b0928 JW0911	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)
P00550	mtlA b3599 JW3573	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]
P00561	thrA thrA1 thrA2 b0002 JW0001	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]
P00562	metL metM b3940 JW3911	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]
P00579	rpoD alt b3067 JW3039	RNA polymerase sigma factor RpoD (Sigma-70)
P00582	polA resA b3863 JW3835	DNA polymerase I (POL I) (EC 2.7.7.7)
P00634	phoA b0383 JW0374	Alkaline phosphatase (APase) (EC 3.1.3.1)
P00722	lacZ b0344 JW0335	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)
P00803	lepB b2568 JW2552	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)
P00804	lspA lsp b0027 JW0025	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)
P00805	ansB b2957 JW2924	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)
P00811	ampC ampA b4150 JW4111	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase)
P00861	lysA b2838 JW2806	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)
P00864	ppc glu b3956 JW3928	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)
