Entry	Protein names	Gene Names
C0SP85	Protein YukE	yukE BSU31910
O05394	Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Homocysteine gamma-lyase) (EC 4.4.1.2)	mccB yrhB BSU27250
O05512	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (1,4-beta-D-mannan mannanohydrolase) (Beta-mannanase) (Glucomannan utilization protein G)	gmuG ydhT BSU05880
O06728	Farnesyl diphosphate phosphatase YisP (EC 3.1.7.6)	yisP yucD BSU10810
O06967	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA (EC 7.6.2.-)	bmrA yvcC BSU34820
O07006	Phenolic acid decarboxylase PadC (PAD) (EC 4.1.1.102)	padC pad yveH BSU34400
O07012	Beta-galactosidase GanA (Beta-gal) (EC 3.2.1.23) (Beta-1,4-galactooligomerase) (Galactooligomerase)	ganA galO lacA yvfN BSU34130
O07532	Peptidoglycan endopeptidase LytF (EC 3.4.-.-) (Autolysin LytF) (Cell wall-associated polypeptide CWBP49') (Gamma-D-glutamate-meso-diaminopimelate muropeptidase LytF) (Peptidoglycan hydrolase LytF) (Vegetative cell wall hydrolase LytF)	lytF cwlE yhdD BSU09370
O07566	3-oxo-glucose-6-phosphate:glutamate aminotransferase (EC 2.6.1.104) (3-dehydro-glucose-6-phosphate--glutamate transaminase) (Kanosamine 6-phosphate transaminase)	ntdA yhjL BSU10550
O07600	Beta-ketoacyl-[acyl-carrier-protein] synthase III 2 (Beta-ketoacyl-ACP synthase III 2) (KAS III 2) (EC 2.3.1.180) (EC 2.3.1.300) (3-oxoacyl-[acyl-carrier-protein] synthase 3 2) (3-oxoacyl-[acyl-carrier-protein] synthase III 2) (Branched-chain beta-ketoacyl-[acyl-carrier-protein] synthase 2) (bFabH2)	fabHB fabH2 yhfB BSU10170
O07623	Subtilosin-A (Antilisterial bacteriocin subtilosin)	sboA sbo BSU37350
O08336	Bifunctional cytochrome P450/NADPH--P450 reductase 2 (CYP102A3) (Fatty acid hydroxylase CypB) (Flavocytochrome P450 102A3) [Includes: Cytochrome P450 102A3 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]	cypB cyp102A3 yrhJ BSU27160
O08394	Bifunctional cytochrome P450/NADPH--P450 reductase 1 (CYP102A2) (Fatty acid hydroxylase CypD) (Flavocytochrome P450 102A2) [Includes: Cytochrome P450 102A2 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]	cypD cyp102A2 yetO yfnJ BSU07250
O31422	Sporulation killing factor (SKF) (Sporulation-killing factor SkfA)	skfA ybcO BSU01910
O31461	Branched-chain-amino-acid transaminase 1 (BCAT 1) (EC 2.6.1.42)	ilvE ybgE BSU02390
O31523	Rhamnogalacturonan acetylesterase RhgT (RGAE) (EC 3.1.1.-)	rhgT yesT BSU07020
O31526	Rhamnogalacturonan endolyase YesW (EC 4.2.2.23)	yesW BSU07050
O31527	Rhamnogalacturonan exolyase YesX (EC 4.2.2.24)	yesX BSU07060
O31602	Global transcriptional regulator Spx (Redox-responsive transcription factor Spx) (Suppressor of clpP and clpX) (Spx)	spx spxA yjbD BSU11500
O31611	GTP pyrophosphokinase YjbM (EC 2.7.6.5) ((p)ppGpp synthase YjbM) (Small alarmone synthase 1) (SAS 1)	yjbM BSU11600
O31612	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase) (Poly(P)-dependent NAD kinase) (PPNK)	ppnKA nadF yjbN BSU11610
O31616	Glycine oxidase (GO) (EC 1.4.3.19)	thiO goxB yjbR BSU11670
