	protein	gene
b0001	thr operon leader peptide (thr operon attenuator)	thrL b0001 JW4367
b0002	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	thrA thrA1 thrA2 b0002 JW0001
b0003	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB b0003 JW0002
b0004	Threonine synthase (TS) (EC 4.2.3.1)	thrC b0004 JW0003
b0005	Uncharacterized protein YaaX	yaaX b0005 JW0004
b0006	Peroxide stress resistance protein YaaA (UPF0246 protein YaaA)	yaaA b0006 JW0005
b0007	Uncharacterized transporter YaaJ	yaaJ b0007 JW0006
b0008	Transaldolase B (EC 2.2.1.2)	talB yaaK b0008 JW0007
b0009	Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75)	mog chlG mogA yaaG b0009 JW0008
b0010	Succinate-acetate/proton symporter SatP (Succinate-acetate transporter protein)	satP yaaH b0010 JW0009
b0011	UPF0174 protein YaaW	yaaW b0011 JW0010
b0012	Uncharacterized protein MbiA (Modifier of biofilm)	mbiA htgA htpY b0012 JW5001
b0013	UPF0412 protein YaaI	yaaI b0013 JW0012
b0014	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK groP grpF seg b0014 JW0013
b0015	Chaperone protein DnaJ (HSP40) (Heat shock protein J)	dnaJ groP b0015 JW0014
b0016	Putative transposase InsL for insertion sequence element IS186A	insL1 b0016 JW0015
b4412	Toxic protein HokC (Protein Gef)	hokC gef b4412 JW5002 b0018.1
b0018	Toxic protein HokC (Protein Gef)	hokC gef b4412 JW5002 b0018.1
b0019	Na(+)/H(+) antiporter NhaA (Na(+)/H(+) exchanger) (Na(+)/Li(+)/H(+) antiporter) (Sodium/proton antiporter NhaA)	nhaA ant b0019 JW0018
b0020	Transcriptional activator protein NhaR (Na(+)/H(+) antiporter regulatory protein)	nhaR antO b0020 JW0019
b0021	Insertion element IS1 1 protein InsB (IS1a)	insB1 b0021 JW0020
b0022	Insertion element IS1 1 protein InsA (IS1a)	insA1 b0022 JW0021
b0023	30S ribosomal protein S20 (Small ribosomal subunit protein bS20)	rpsT b0023 JW0022
b0024	Uncharacterized protein YaaY	yaaY b0024 JW5003
b0025	Bifunctional riboflavin kinase/FMN adenylyltransferase (Riboflavin biosynthesis protein RibF) [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	ribF yaaC b0025 JW0023
b0026	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS ilvS b0026 JW0024
b0027	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA lsp b0027 JW0025
