GeneID	Chr	Start	End	Strand
BSU_00010	NC_000964.3	410	1750	+
BSU_00020	NC_000964.3	1939	3075	+
BSU_00030	NC_000964.3	3206	3421	+
BSU_00040	NC_000964.3	3437	4549	+
BSU_00050	NC_000964.3	4567	4812	+
BSU_00060	NC_000964.3	4867	6783	+
BSU_00070	NC_000964.3	6994	9459	+
BSU_00080	NC_000964.3	14847	15794	-
BSU_00090	NC_000964.3	15915	17381	+
BSU_00100	NC_000964.3	17534	18865	+
BSU_00110	NC_000964.3	19062	19946	+
BSU_00120	NC_000964.3	19968	20558	+
BSU_00130	NC_000964.3	20880	22157	+
BSU_00140	NC_000964.3	22496	23149	-
BSU_00150	NC_000964.3	23146	23769	-
BSU_00160	NC_000964.3	23868	25151	-
BSU_00170	NC_000964.3	25221	25766	-
BSU_00180	NC_000964.3	25852	26337	+
BSU_00190	NC_000964.3	26814	28505	+
BSU_00200	NC_000964.3	28529	28852	+
BSU_00210	NC_000964.3	28867	29463	+
BSU_00220	NC_000964.3	29481	29705	+
BSU_00230	NC_000964.3	29772	30035	+
BSU_00240	NC_000964.3	35531	35725	+
BSU_00250	NC_000964.3	35845	36459	+
BSU_00260	NC_000964.3	36478	37638	+
BSU_00270	NC_000964.3	37720	39162	+
BSU_00280	NC_000964.3	39159	39797	+
BSU_00290	NC_000964.3	39871	40200	+
BSU_00300	NC_000964.3	40213	40653	+
BSU_00310	NC_000964.3	40665	41654	+
BSU_00320	NC_000964.3	41657	42484	+
BSU_00330	NC_000964.3	42499	42858	+
BSU_00340	NC_000964.3	42917	43660	+
BSU_00350	NC_000964.3	43647	43946	+
BSU_00360	NC_000964.3	43921	44799	+
BSU_00370	NC_000964.3	44848	45138	-
BSU_00380	NC_000964.3	45633	47627	+
BSU_00390	NC_000964.3	47706	48473	+
BSU_00400	NC_000964.3	48629	49942	+
BSU_00410	NC_000964.3	50087	50647	+
BSU_00420	NC_000964.3	50640	51518	+
BSU_00430	NC_000964.3	51680	52552	+
BSU_00440	NC_000964.3	52763	53023	+
BSU_00450	NC_000964.3	53183	53368	+
BSU_00460	NC_000964.3	53516	54385	+
BSU_00470	NC_000964.3	54441	55298	+
BSU_00480	NC_000964.3	55295	55672	+
BSU_00490	NC_000964.3	55866	56159	+
BSU_00500	NC_000964.3	56352	57722	+
BSU_00510	NC_000964.3	57745	58698	+
BSU_00520	NC_000964.3	58783	59397	+
BSU_00530	NC_000964.3	59504	60070	+
BSU_00540	NC_000964.3	60130	60360	+
BSU_00550	NC_000964.3	60430	63963	+
BSU_00560	NC_000964.3	64099	64635	+
BSU_00570	NC_000964.3	64817	66415	+
BSU_00580	NC_000964.3	66405	67874	+
BSU_00590	NC_000964.3	67877	68137	+
BSU_00600	NC_000964.3	68216	68518	+
BSU_00610	NC_000964.3	68515	69150	+
BSU_00620	NC_000964.3	69168	69545	+
BSU_00630	NC_000964.3	69626	70012	+
BSU_00640	NC_000964.3	70538	73021	+
BSU_00650	NC_000964.3	73106	73843	+
BSU_00660	NC_000964.3	73809	74825	+
BSU_00670	NC_000964.3	74929	76347	+
BSU_00680	NC_000964.3	76344	76886	+
BSU_00690	NC_000964.3	76984	78897	+
BSU_00700	NC_000964.3	79092	79868	+
BSU_00710	NC_000964.3	79880	80755	+
BSU_00720	NC_000964.3	80802	81695	+
BSU_00730	NC_000964.3	81771	82697	+
BSU_00740	NC_000964.3	82864	84276	+
BSU_00750	NC_000964.3	84290	84874	+
BSU_00760	NC_000964.3	84874	85755	+
BSU_00770	NC_000964.3	85737	86594	+
BSU_00780	NC_000964.3	86587	86949	+
BSU_00790	NC_000964.3	86946	87449	+
BSU_00800	NC_000964.3	87401	87610	+
BSU_00810	NC_000964.3	87634	88635	+
BSU_00820	NC_000964.3	88727	90226	+
BSU_00830	NC_000964.3	101449	101913	+
BSU_00840	NC_000964.3	101927	102484	+
BSU_00850	NC_000964.3	102484	103575	+
BSU_00860	NC_000964.3	103572	106004	+
BSU_00870	NC_000964.3	106096	107472	+
BSU_00880	NC_000964.3	107476	108558	+
BSU_00890	NC_000964.3	108674	109774	+
BSU_00900	NC_000964.3	109789	110487	+
BSU_00910	NC_000964.3	110480	110956	+
BSU_00920	NC_000964.3	111047	112498	+
BSU_00930	NC_000964.3	112800	113453	+
BSU_00940	NC_000964.3	113450	114850	+
BSU_00950	NC_000964.3	114854	115285	+
BSU_00960	NC_000964.3	115269	116018	+
BSU_00970	NC_000964.3	116025	116537	+
BSU_00980	NC_000964.3	116600	117256	+
BSU_00990	NC_000964.3	117349	117498	+
BSU_01000	NC_000964.3	117532	117711	+
BSU_01010	NC_000964.3	117890	118423	+
